TagCode,age_at_anchor,age_at_late_ent
384.3B239875C6,-3.98,4.09
384.3B23987601,-3.99,0.01
384.3B23995DC4,-5.98,0.14
384.3B23AC32E5,-4.2,2.97
384.3B23AC6E25,-4.91,0
3D9.1C2C448869,0.26,2.89
3D9.1C2C449BFB,-1.15,2.51
3D9.1C2C451B01,1.22,9.06
3D9.1C2C50DE54,-1.14,2.91
3D9.1C2C517149,0.18,1.86
3D9.1C2CC055C1,0.76,2.98
3D9.1C2CDBF910,0.46,2.56
3D9.1C2CDD70AD,0.27,2.12
3D9.1C2CDD777B,-0.84,2.28
3D9.1C2CDD7B21,-0.25,2.59
3D9.1C2CDE072C,-0.09,2.98
3D9.1C2D0807BE,-0.62,2.92
3D9.1C2D104B62,-0.67,1.94
3D9.1C2D105E0C,-2.03,0.96
3D9.1C2D10B1BF,-1.24,2.03
3D9.1C2D10F371,-0.16,2.94
3D9.1C2D111A1F,-1.83,2.94
3D9.1C2D125685,-1.36,3.04
3D9.1C2D45A06D,0.69,2.64
3D9.1C2D778E8A,-1.01,2.63
3D9.1C2D91FF33,-4.21,0.16
3D9.1C2D9207E9,-2.67,0.66
3D9.1C2D925BD1,-3.11,2.26
3D9.1C2D92606A,-4.1,1.28
3D9.1C2D92648B,-3.93,2.48
3D9.1C2D92CE2F,-3.59,2.86
3D9.1C2D935893,-0.64,2.9
3D9.1C2D95B9B5,-2.32,0.69
3D9.1C2D9EC694,-1.58,1.57
3D9.1C2DD57BAA,-3.12,0
3D9.1C2DD6EFA4,-2.13,0
3D9.1C2DD6F2D1,-3.48,0.19
3D9.1C2DD6F3B7,-2.07,2.15
3D9.1C2DD6F51A,-5.16,0.63
3D9.1C2DD727C3,-1.56,3.17
3D9.1C2DD731BF,-2.54,2.57
3D9.1C2DD92F5A,-3.1,1.44
3D9.1C2DD967D1,-3.19,2.45
3D9.1C2DDA18FB,-2.77,1.45
3D9.1C2DDA7844,-3.43,2.93
3D9.1C2DE40CD5,-5.96,3.37
3D9.1C2DEABA1D,-5.36,1.87
3D9.1C2DEB27EF,-3.01,1.94
3D9.1C2DEC94F8,-4.03,2.94
3D9.239F864DEC,-5.04,3.61
3DD.007736FCB6,-14.1,0
3DD.00773788E8,-6.43,2.08
3DD.0077385F74,-7.52,1.54
3DD.0077386A62,-13.95,2.83
3DD.0077387386,-12.79,1.88
3DD.0077576277,-6.03,0
3DD.0077631B4A,-6.97,3
3DD.00776DF38F,-4.91,1.9
3DD.00776F18C4,-5.92,1.92
3DD.00777A41EA,-8.04,1.93
3DD.0077840F9D,-6.25,0.01
3DD.00778DDCFF,-11.45,2.98
3DD.00778F3387,-6.43,2.54
3DD.007790A633,-9.1,1.64
3DD.007790CB64,-6.25,0.26
3DD.007790D0B1,-6.33,3.56
3DD.007790F4EF,-5.33,1.15
3DD.007790FB83,-6,3.58
3DD.0077A2A88D,-13.76,2.96
3DD.0077A40C41,-9.43,2.54
