ReturnYear,Harvest_Status,n_total,n_groupA,n_groupB,n_detected,pct_detected,n_wells,n_spring
2006,Open,2,2,0,0,0,0,0
2007,Open,6,3,3,5,83.33333333333334,3,0
2008,Open,5,3,2,3,60,2,0
2009,Open,49,26,23,36,73.46938775510205,23,0
2010,Open,52,38,14,43,82.6923076923077,14,1
2011,Open,43,27,16,39,90.69767441860465,16,0
2012,Open,20,11,9,15,75,9,0
2013,Open,33,18,15,32,96.96969696969697,15,1
2014,Open,46,24,22,36,78.26086956521739,22,0
2015,Open,45,20,25,38,84.44444444444444,25,2
2016,Closed,26,12,14,20,76.92307692307693,14,2
2017,Closed,6,3,3,5,83.33333333333334,3,1
2018,Closed,12,8,4,9,75,4,0
2019,Closed,13,6,7,11,84.61538461538461,7,0
2020,Closed,9,2,7,8,88.88888888888889,7,0
2021,Closed,2,1,1,2,100,1,1
2022,Closed,3,3,0,3,100,0,1
2023,Closed,2,2,0,1,50,0,0
2024,Open,7,2,5,2,28.57142857142857,5,0
2025,Open,23,12,11,14,60.86956521739131,11,0
